ID,Sexo,IOS(3),IOS(4),IOS(5),tam_loc,Mes nacimiento,Año nacimiento,Edad de desercion,Edad de desercion(2),cd,Edad del primer empleo,Edad de independencia,Edad a la primera union,Edad al primer hijo,prim_inf_pad,seg_inf_pad,terc_inf_pad,adoles_temp_pad,adoles_tardia_pad,infancia(7)_pad,infancia(3)_pad,Adolescencia(3)_pad,Adolescencia(2)_pad,Infancia y adolescencia_pad,prim_inf_mad,seg_inf_mad,terc_inf_mad,adoles_temp_mad,adoles_tardia_mad,infancia(7)_mad,infancia(3)_mad,Adolescencia(3)_mad,Adolescencia(2)_mad,Infancia y adolescencia_mad,Int_p,Int_m
1,1,3,4,5,1,7,1983,27,22,1,22,28,29,31,0,0,1,1,0,3,1,1,1,3,0,0,0,1,1,0,0,3,2,2,1,6
2,1,3,4,5,1,5,1975,40,25,0,24,0,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2,3,4,1,11,1988,25,26,0,22,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,3,4,5,1,9,1992,23,24,0,18,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,4,5,1,6,1972,20,21,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,3,4,5,1,6,1974,15,16,1,16,20,20,21,0,1,1,1,1,6,2,3,2,3,0,0,0,0,0,0,0,0,0,0,8,0
7,0,3,4,5,1,8,1989,24,19,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,3,4,5,1,7,1970,18,19,1,21,23,23,26,0,0,0,1,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,8,0
9,1,1,1,2,0,5,1981,15,16,1,16,16,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,3,3,4,1,1,1982,16,17,1,16,16,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,3,3,4,1,10,1993,21,22,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,3,4,5,1,4,1966,40,20,1,20,20,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,3,3,4,1,3,1980,14,15,1,17,0,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,2,2,3,1,5,1966,13,14,1,17,22,22,23,1,1,1,1,1,7,3,3,2,3,0,0,0,0,0,0,0,0,0,0,8,0
15,0,3,4,5,1,5,1972,18,19,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,3,4,5,1,9,1993,23,24,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,3,4,5,1,10,1991,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,3,4,5,1,9,1978,23,24,0,23,26,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,2,3,4,1,8,1968,17,18,1,21,18,18,21,0,0,1,1,1,3,1,3,2,3,0,0,0,0,0,0,0,0,0,0,7,0
20,1,1,1,2,1,2,1994,14,15,1,17,0,0,0,1,1,1,1,1,7,3,3,2,3,0,0,0,0,0,0,0,0,0,0,8,0
21,0,3,3,4,1,3,1967,22,23,0,23,28,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,3,4,4,1,7,1990,15,16,1,16,0,0,0,0,0,1,1,1,3,1,3,2,3,0,0,0,0,0,0,0,0,0,0,8,0
23,0,3,3,4,1,3,1978,15,16,1,18,29,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,3,4,5,1,7,1975,15,16,1,16,16,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,3,4,4,1,10,1981,15,16,1,14,27,27,28,0,0,0,1,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,8,0
26,1,2,2,3,1,3,1972,11,12,1,12,0,18,19,0,0,0,1,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,7,0
